CLASS_NAME	PERSON_FULL_NAME	BEGIN_HH_TIME	SECTION_END_DATE	AVAIL_SEAT	DAY_CODE	BLDG_CODE	BEGIN_MM_TIME	FK_CDI_INSTR_TYPE	FK_SPM_SPCL_MTG_CD	COUNT_ON_WAITLIST	END_HH_TIME	PRIMARY_INSTR_FLAG	LONG_DESC	END_MM_TIME	SECTION_START_DATE	STP_ENRLT_FLAG	SCTN_ENRLT_QTY	START_DATE	ROOM_CODE	SECTION_NUMBER	SECT_CODE	BEFORE_DESC	SCTN_CPCTY_QTY	FK_SST_SCTN_STATCD
COGR 299	Mukerji, Chandra	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	924317	019	 	9999	AC	
COGR 299	Padden, Carol Ann	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	924318	020	 	9999	AC	
COGR 299	Pezzoli, Keith	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	924319	021	 	9999	AC	
COGR 299	Serlin, David	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	924320	022	 	9999	AC	
COGR 299	Sims, Christopher O	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	924321	023	 	9999	AC	
COGR 299	Tanaka, Stefan A.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	924322	024	 	9999	AC	
COGR 299	Vasquez, Olga A.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	924323	025	 	9999	AC	
COGR 299	Zilberg, Elana	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	924324	026	 	9999	AC	
COGR 500	Boateng, Boatema	0	2018-03-16	10	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	924325	001	 	10	AC	
COGR 500	Serlin, David	0	2018-03-16	10	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	924326	002	 	10	AC	
COGR 500	Martinico, Daniel J	0	2018-03-16	1	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	924327	003	 	1	AC	
COGR 500	Staff	0	2018-03-16	1	 	TBA	0	IN	TBA	0	0	 	                              	0	2018-01-08	N	0	 	TBA	924328	004	 	1	AC	
COGR 500	Staff	0	2018-03-16	1	 	TBA	0	IN	TBA	0	0	 	                              	0	2018-01-08	N	0	 	TBA	929109	005	 	1	AC	
COGS 1	Boyle, Mary E. T.	12	2018-03-16	60	1	PCYNH	0	DI	  	0	12	Y	                              	50	2018-01-08	N	0	2018-01-08	121  	925517	A01	 	60	AC	
COGS 1	Boyle, Mary E. T.	16	2018-03-16	60	1	PCYNH	0	DI	  	0	16	Y	                              	50	2018-01-08	N	0	2018-01-08	121  	925518	A02	 	60	AC	
COGS 1	Boyle, Mary E. T.	12	2018-03-16	60	3	PCYNH	0	DI	  	0	12	Y	                              	50	2018-01-08	N	0	2018-01-08	121  	925519	A03	 	60	AC	
COGS 1	Boyle, Mary E. T.	14	2018-03-16	60	3	PCYNH	0	DI	  	0	14	Y	                              	50	2018-01-08	N	0	2018-01-08	121  	925520	A04	 	60	AC	
COGS 1	Boyle, Mary E. T.	11	2018-03-16	60	5	PCYNH	0	DI	  	0	11	Y	                              	50	2018-01-08	N	0	2018-01-08	121  	925521	A05	 	60	AC	
COGS 1	Boyle, Mary E. T.	12	2018-03-16	60	5	PCYNH	0	DI	  	0	12	Y	                              	50	2018-01-08	N	0	2018-01-08	121  	925522	A06	 	60	AC	
COGS 1	Boyle, Mary E. T.	14	2018-03-16	60	5	PCYNH	0	DI	  	0	14	Y	                              	50	2018-01-08	N	0	2018-01-08	121  	925523	A07	 	60	AC	
COGS 1	Boyle, Mary E. T.	10	2018-03-16	420	135	PRICE	0	LE	  	0	10	Y	                              	50	2018-01-08	N	0	2018-01-08	THTRE	925516	A00	 	420	NC	
COGS 1	Boyle, Mary E. T.	8	2018-03-16	420	5	PRICE	0	LE	FI	0	10	Y	                              	59	2018-01-08	N	0	2018-03-23	THTRE	925516	A00	 	420	NC	
COGS 107A	Rangel, Lara M	16	2018-03-16	40	1	CENTR	0	LA	  	0	16	Y	                              	50	2018-01-08	N	0	2018-01-08	222  	925793	A01	 	40	AC	
COGS 107A	Rangel, Lara M	14	2018-03-16	40	1	CENTR	0	LA	  	0	14	Y	                              	50	2018-01-08	N	0	2018-01-08	222  	925794	A02	 	40	AC	
COGS 107A	Rangel, Lara M	14	2018-03-16	40	3	CENTR	0	LA	  	0	14	Y	                              	50	2018-01-08	N	0	2018-01-08	222  	928797	A03	 	40	AC	
COGS 107A	Rangel, Lara M	12	2018-03-16	120	24	CSB  	30	LE	  	0	13	Y	                              	50	2018-01-08	N	0	2018-01-08	002  	925561	A00	 	120	NC	
COGS 107A	Rangel, Lara M	11	2018-03-16	120	2	CSB  	30	LE	FI	0	14	Y	                              	29	2018-01-08	N	0	2018-03-20	002  	925561	A00	 	120	NC	
COGS 11	Boroditsky, Lera	17	2018-03-16	200	24	RBC  	0	LE	  	0	18	Y	                              	20	2018-01-08	N	0	2018-01-08	AUD  	925530	A00	 	200	NC	
COGS 11	Boroditsky, Lera	19	2018-03-16	200	4	RBC  	0	LE	FI	0	21	Y	                              	59	2018-01-08	N	0	2018-03-22	AUD  	925530	A00	 	200	NC	
COGS 11	Boroditsky, Lera	0	2018-03-16	200	 	TBA	0	DI	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925531	A01	 	200	AC	
COGS 120	Klemmer, Scott R	9	2018-03-16	144	24	CICC 	30	LE	  	0	10	Y	                              	50	2018-01-08	N	0	2018-01-08	101  	925581	A00	 	144	NC	
COGS 120	Klemmer, Scott R	8	2018-03-16	144	2	CICC 	0	LE	FI	0	10	Y	                              	59	2018-01-08	N	0	2018-03-20	101  	925581	A00	 	144	NC	
COGS 120	Klemmer, Scott R	0	2018-03-16	144	 	TBA	0	ST	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925582	A01	 	144	AC	
COGS 14A	Rossano, Federico	10	2018-03-16	32	1	PCYNH	0	LA	  	0	10	Y	                              	50	2018-01-08	N	0	2018-01-08	120  	925534	A01	 	32	AC	
COGS 14A	Rossano, Federico	12	2018-03-16	32	1	CSB  	0	LA	  	0	12	Y	                              	50	2018-01-08	N	0	2018-01-08	005  	925535	A02	 	32	AC	
COGS 14A	Rossano, Federico	10	2018-03-16	32	3	CSB  	0	LA	  	0	10	Y	                              	50	2018-01-08	N	0	2018-01-08	005  	925536	A03	 	32	AC	
COGS 14A	Rossano, Federico	11	2018-03-16	31	3	CSB  	0	LA	  	0	11	Y	                              	50	2018-01-08	N	0	2018-01-08	005  	925537	A04	 	31	AC	
COGS 14A	Rossano, Federico	16	2018-03-16	31	5	CSB  	0	LA	  	0	16	Y	                              	50	2018-01-08	N	0	2018-01-08	005  	925538	A05	 	31	AC	
COGS 14A	Rossano, Federico	17	2018-03-16	158	24	MANDE	0	LE	  	0	18	Y	                              	20	2018-01-08	N	0	2018-01-08	B-210	925533	A00	 	158	NC	
COGS 14A	Rossano, Federico	19	2018-03-16	158	4	MANDE	0	LE	FI	0	21	Y	                              	59	2018-01-08	N	0	2018-03-22	B-210	925533	A00	 	158	NC	
COGS 160	Nunez, Rafael E	11	2018-03-16	40	24	SOLIS	0	SE	  	0	12	Y	                              	20	2018-01-08	N	0	2018-01-08	110  	925588	A00	 	40	AC	
COGS 160	Nunez, Rafael E	11	2018-03-16	40	4	SOLIS	30	SE	FI	0	14	Y	                              	29	2018-01-08	N	0	2018-03-22	110  	925588	A00	 	40	AC	
COGS 160	Deak, Gedeon O.	0	2018-03-16	20	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925589	B00	 	20	AC	
COGS 17	Johnson, Christine M.	13	2018-03-16	56	1	CSB  	0	LA	  	0	13	Y	                              	50	2018-01-08	N	0	2018-01-08	005  	925545	A01	 	56	AC	
COGS 17	Johnson, Christine M.	13	2018-03-16	56	3	CSB  	0	LA	  	0	13	Y	                              	50	2018-01-08	N	0	2018-01-08	005  	925546	A02	 	56	AC	
COGS 17	Johnson, Christine M.	17	2018-03-16	56	3	CSB  	0	LA	  	0	17	Y	                              	50	2018-01-08	N	0	2018-01-08	004  	925547	A03	 	56	AC	
COGS 17	Johnson, Christine M.	10	2018-03-16	56	5	PCYNH	0	LA	  	0	10	Y	                              	50	2018-01-08	N	0	2018-01-08	120  	925548	A04	 	56	AC	
COGS 17	Johnson, Christine M.	15	2018-03-16	224	24	GH   	30	LE	  	0	16	Y	                              	50	2018-01-08	N	0	2018-01-08	242  	925544	A00	 	224	NC	
COGS 17	Johnson, Christine M.	15	2018-03-16	224	2	GH   	0	LE	FI	0	17	Y	                              	59	2018-01-08	N	0	2018-03-20	242  	925544	A00	 	224	NC	
COGS 194	Kernell, Samuel H.	0	2018-03-16	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925603	A00	 	9999	AC	
COGS 195	Dow, Steven P	0	2018-03-16	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925604	A00	 	9999	AC	
COGS 195	Boyle, Mary E. T.	0	2018-03-16	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925605	B00	 	9999	AC	
COGS 195	Johnson, Christine M.	0	2018-03-16	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925606	C00	 	9999	AC	
COGS 195	Kirsh, David Joel	0	2018-03-16	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925607	D00	 	9999	AC	
COGS 195	Klemmer, Scott R	0	2018-03-16	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925608	E00	 	9999	AC	
COGS 195	Rangel, Lara M	0	2018-03-16	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925609	G00	 	9999	AC	
COGS 195	Rossano, Federico	0	2018-03-16	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925610	H00	 	9999	AC	
COGS 195	Voytek, Bradley Thomas	0	2018-03-16	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925611	J00	 	9999	AC	
COGS 195	Nitz, Douglas A.	0	2018-03-16	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925612	K00	 	9999	AC	
COGS 199	Bergen, Benjamin	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925614	001	 	9999	AC	
COGS 199	Boroditsky, Lera	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925615	002	 	9999	AC	
COGS 199	Boyle, Mary E. T.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925616	003	 	9999	AC	
COGS 199	Chiba, Andrea	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925617	004	 	9999	AC	
COGS 199	Coulson, Seana M	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925618	005	 	9999	AC	
COGS 199	Creel, Sarah	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925619	006	 	9999	AC	
COGS 199	De Sa, Virginia	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925620	007	 	9999	AC	
COGS 199	Deak, Gedeon O.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925621	008	 	9999	AC	
COGS 199	Dow, Steven P	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925622	009	 	9999	AC	
COGS 199	Elman, Jeffrey L.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925623	010	 	9999	AC	
COGS 199	Guo, Philip J	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925624	011	 	9999	AC	
COGS 199	Hollan, James D.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925625	012	 	9999	AC	
COGS 199	Jernigan, Terry Lynne	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925626	013	 	9999	AC	
COGS 199	Johnson, Christine M.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925627	014	 	9999	AC	
COGS 199	Kirsh, David Joel	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925628	015	 	9999	AC	
COGS 199	Klemmer, Scott R	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925629	016	 	9999	AC	
COGS 199	Kutas, Marta	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925630	017	 	9999	AC	
COGS 199	Mukamel, Eran A	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925631	018	 	9999	AC	
COGS 199	Nitz, Douglas A.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925632	019	 	9999	AC	
COGS 199	Nunez, Rafael E	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925633	020	 	9999	AC	
COGS 199	Pineda, Jaime A	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925634	021	 	9999	AC	
COGS 199	Rangel, Lara M	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925635	022	 	9999	AC	
COGS 199	Rossano, Federico	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925636	023	 	9999	AC	
COGS 199	Saygin, Ayse P	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925637	024	 	9999	AC	
COGS 199	Tu, Zhuowen	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925638	025	 	9999	AC	
COGS 199	Voytek, Bradley Thomas	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925639	026	 	9999	AC	
COGS 199	Yu, Angela J.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925640	027	 	9999	AC	
COGS 200	Staff	14	2018-03-16	9999	5	CSB  	0	DI	  	0	14	 	                              	50	2018-01-08	N	0	2018-01-08	003  	925642	A01	 	9999	AC	
COGS 200	Staff	15	2018-03-16	9999	5	CSB  	0	SE	  	0	16	 	                              	50	2018-01-08	N	0	2018-01-08	003  	925641	A00	 	9999	NC	
COGS 229	Hollan, James D.	16	2018-03-16	9999	3	EBU3B	0	SE	  	0	17	Y	                              	50	2018-01-08	N	0	2018-01-08	1202 	925655	A00	 	9999	AC	
COGS 260	De Sa, Virginia	11	2018-03-16	9999	1	CSB  	0	SE	  	0	13	Y	Brain-ComputerInterfaces      	50	2018-01-08	N	0	2018-01-08	180  	925660	A00	 	9999	AC	
COGS 260	Saygin, Ayse P	14	2018-03-16	9999	3	CSB  	0	SE	  	0	16	Y	                              	50	2018-01-08	N	0	2018-01-08	180  	925662	C00	 	9999	AC	
COGS 260	Creel, Sarah	13	2018-03-16	9999	1	CSB  	0	SE	  	0	15	Y	Auditory Learning/Plasticity  	50	2018-01-08	N	0	2018-01-08	272  	925663	D00	 	9999	AC	
COGS 260	Frank, Lawrence Robert	14	2018-03-16	9999	24	CSB  	0	SE	  	0	15	Y	                              	20	2018-01-08	N	0	2018-01-08	272  	925664	E00	 	9999	AC	
COGS 290	Bergen, Benjamin	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925665	001	 	9999	AC	
COGS 290	Boroditsky, Lera	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925666	002	 	9999	AC	
COGS 290	Boyle, Mary E. T.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925667	003	 	9999	AC	
COGS 290	Chiba, Andrea	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925668	004	 	9999	AC	
COGS 290	Coulson, Seana M	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925669	005	 	9999	AC	
COGS 290	Creel, Sarah	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925670	006	 	9999	AC	
COGS 290	De Sa, Virginia	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925671	007	 	9999	AC	
COGS 290	Deak, Gedeon O.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925672	008	 	9999	AC	
COGS 290	Dow, Steven P	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925673	009	 	9999	AC	
COGS 290	Elman, Jeffrey L.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925674	010	 	9999	AC	
COGS 290	Guo, Philip J	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925675	011	 	9999	AC	
COGS 290	Hollan, James D.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925676	012	 	9999	AC	
COGS 290	Jernigan, Terry Lynne	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925677	013	 	9999	AC	
COGS 290	Kirsh, David Joel	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925678	014	 	9999	AC	
COGS 290	Klemmer, Scott R	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925679	015	 	9999	AC	
COGS 290	Kutas, Marta	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925680	016	 	9999	AC	
COGS 290	Mukamel, Eran A	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925681	017	 	9999	AC	
COGS 290	Nitz, Douglas A.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925682	018	 	9999	AC	
COGS 290	Nunez, Rafael E	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925683	019	 	9999	AC	
COGS 290	Pineda, Jaime A	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925684	020	 	9999	AC	
COGS 290	Rangel, Lara M	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925685	021	 	9999	AC	
COGS 290	Rossano, Federico	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925686	022	 	9999	AC	
COGS 290	Saygin, Ayse P	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925687	023	 	9999	AC	
COGS 290	Tu, Zhuowen	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925688	024	 	9999	AC	
COGS 290	Voytek, Bradley Thomas	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925689	025	 	9999	AC	
COGS 290	Yu, Angela J.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925690	026	 	9999	AC	
COGS 291	Bergen, Benjamin	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925691	001	 	9999	AC	
COGS 291	Boroditsky, Lera	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925692	002	 	9999	AC	
COGS 291	Boyle, Mary E. T.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925693	003	 	9999	AC	
COGS 291	Chiba, Andrea	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925694	004	 	9999	AC	
COGS 291	Coulson, Seana M	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925695	005	 	9999	AC	
COGS 291	Creel, Sarah	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925696	006	 	9999	AC	
COGS 291	De Sa, Virginia	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925697	007	 	9999	AC	
COGS 291	Deak, Gedeon O.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925698	008	 	9999	AC	
COGS 291	Dow, Steven P	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925699	009	 	9999	AC	
COGS 291	Elman, Jeffrey L.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925700	010	 	9999	AC	
COGS 291	Guo, Philip J	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925701	011	 	9999	AC	
COGS 291	Hollan, James D.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925702	012	 	9999	AC	
COGS 291	Jernigan, Terry Lynne	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925703	013	 	9999	AC	
COGS 291	Kirsh, David Joel	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925704	014	 	9999	AC	
COGS 291	Klemmer, Scott R	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925705	015	 	9999	AC	
COGS 291	Kutas, Marta	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925706	016	 	9999	AC	
COGS 291	Mukamel, Eran A	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925707	017	 	9999	AC	
COGS 291	Nitz, Douglas A.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925708	018	 	9999	AC	
COGS 291	Nunez, Rafael E	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925709	019	 	9999	AC	
COGS 291	Pineda, Jaime A	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925710	020	 	9999	AC	
COGS 291	Rangel, Lara M	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925711	021	 	9999	AC	
COGS 291	Rossano, Federico	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925712	022	 	9999	AC	
COGS 291	Saygin, Ayse P	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925713	023	 	9999	AC	
COGS 291	Tu, Zhuowen	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925714	024	 	9999	AC	
COGS 291	Voytek, Bradley Thomas	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925715	025	 	9999	AC	
COGS 291	Yu, Angela J.	0	2018-03-16	9999	 	TBA	0	LA	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925716	026	 	9999	AC	
COGS 298	Bergen, Benjamin	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925717	001	 	9999	AC	
COGS 298	Boroditsky, Lera	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925718	002	 	9999	AC	
COGS 298	Boyle, Mary E. T.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925719	003	 	9999	AC	
COGS 298	Chiba, Andrea	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925720	004	 	9999	AC	
COGS 298	Coulson, Seana M	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925721	005	 	9999	AC	
COGS 298	Creel, Sarah	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925722	006	 	9999	AC	
COGS 298	De Sa, Virginia	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925723	007	 	9999	AC	
COGS 298	Deak, Gedeon O.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925724	008	 	9999	AC	
COGS 298	Dow, Steven P	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925725	009	 	9999	AC	
COGS 298	Elman, Jeffrey L.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925726	010	 	9999	AC	
COGS 298	Guo, Philip J	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	925727	011	 	9999	AC	
